nome,raio,latitude,longitude
PONTO 1,300,-25.56742701740896,-51.47653363645077
PONTO 2,300,-25.568056,-51.480278
PONTO 3,250,-25.414167,-51.566944
PONTO 4,250,-25.718611,-51.831111
PONTO 5,163,-25.37240459807051,-51.497342622606084
PONTO 6,170,-22.718252406214955,-46.78627558343578
PONTO 7,250,-25.336667,-51.5125
PONTO 8,250,-24.558056,-54.036944
PONTO 9,250,-24.940833,-50.793611
PONTO 10,250,-25.279167,-51.628333
PONTO 11,250,-25.498056,-49.275
PONTO 12,250,-20.071389,-45.312222
PONTO 13,250,-21.678056,-43.445833
PONTO 14,250,-23.6525,-46.716389
PONTO 15,250,-8.112778,-34.933889
PONTO 16,250,-22.754444,-45.122778
PONTO 17,250,-25.419167,-51.4875
PONTO 18,250,-25.5375,-48.554722
PONTO 19,250,-25.152222,-50.132778
PONTO 20,250,-23.598889,-46.888611
PONTO 21,250,-22.124722,-43.225833
PONTO 22,250,-25.445278,-51.654722
PONTO 23,250,-25.547778,-49.307222
PONTO 24,350,-25.363333,-51.468333
